Strains ID	Isolation date	Origin	Country
001-001 P1	2010	Faeces	France
001-011	2010	Faeces	France
001-024 c2	2010	Faeces	France
001-025	2010	Faeces	France
001-033 c1	2010	Faeces	France
003-006	2010	Faeces	France
003-029	2010	Faeces	France
003-032	2010	Faeces	France
004-009 ccl	2010	Faeces	France
004-027 c1	2010	Faeces	France
005-006	2010	Faeces	France
005-x	2010	Faeces	France
006-002	2010	Faeces	France
007-002	2010	Faeces	France
012-004 ccl	2010	Faeces	France
025-022	2010	Faeces	France
025-025 c1	2010	Faeces	France
026-007	2010	Faeces	France
034-019 c2	2010	Faeces	France
035-003 ccl	2010	Faeces	France
H1-001-0029-V-P	2016	Blood	France
H1-001-0031-C-M	2016	Blood	France
H1-001-0041-D-F	2016	Blood	France
H1-001-0051-L-F	2016	Blood	France
H1-001-0066-P-C	2016	Blood	France
H1-001-0092-L-F	2016	Blood	France
H1-001-0105-C-P	2016	Blood	France
H1-001-0108-S-J	2016	Blood	France
H1-001-0120-M-A	2016	Blood	France
H1-001-0129-R-J	2016	Blood	France
H1-002-0038-D-O	2016	Blood	France
H1-002-0057-F-J	2016	Blood	France
H1-003-0003-A-N	2016	Blood	France
H1-003-0098-J-H	2016	Blood	France
H1-003-0109-M-D	2016	Blood	France
H1-004-0027-B-P	2016	Blood	France
H1-004-0043-G-R	2016	Blood	France
H1-006-0014-H-P	2016	Blood	France
H1-006-0031-R-H	2016	Blood	France
H1-007-0045-R-M	2016	Blood	France
LBC1a	2001	Faeces	France
LBC3a	2001	Faeces	France
PAR5.1	2002	Faeces	France
PAR25.7	2002	Faeces	France
R1B1C6	2000	Blood	France
R1B1E2	2000	Blood	France
R1B2G1	2000	Blood	France
R1B2G2	2000	Blood	France
R1B3B2	2000	Blood	France
R1B3I1	2000	Blood	France
R1B3I5	2000	Blood	France
R1B5A9	2000	Blood	France
R1B5B9	2000	Blood	France
R1B5J10	2000	Blood	France
R1B6A7	2000	Blood	France
R1B13B6	2000	Blood	France
R1B15A1	2000	Blood	France
R1B15H1	2000	Blood	France
R1B15I2	2000	Blood	France
ROAR361	2004	Faeces	France
ROAR369	2004	Faeces	France
ROAR383	2004	Faeces	France
ROAR394	2004	Faeces	France
ROAR413	2004	Faeces	France
ROAR420	2004	Faeces	France
ROAR435	2004	Faeces	France
VDG373	1980	Faeces	France
VDG374	1980	Faeces	France
VDG396	1980	Faeces	France
VDG401	1980	Faeces	France
VDG402	1980	Faeces	France
VDG403	1980	Faeces	France
VDG420	1980	Faeces	France
VDG455	1980	Faeces	France
101-1		Faeces	
53638		Faeces	
ATCC8739	1938	Faeces	
ATCC11229	2004 ?	Faeces	
ATCC11231	2004 ?	Faeces	
REL606	1918	Faeces	
STEC388		Faeces	
UMNK88		Faeces	
