tip	date	distance	residual
IAI1	2008.950819672131	0.04809595544050807	0.024388973188820717
001-001-P1	2010.5	0.024111494240508072	3.8211703860333707E-4
H1-004-0043-G-R	2016.5	0.025003658340508075	0.001187545140936011
ETECL21	2008.5	0.025013533240508073	0.0013130680378257778
R1B2G2	2000.5	0.024106428640508073	5.2161143471555E-4
004-009-ccl	2010.5	0.023204197140508077	-5.251800613966587E-4
005-006	2010.5	0.022313187840508075	-0.0014161893613966609
H1-001-0051-L-F	2016.5	0.022313187840508075	-0.001502925359063989
R1B15I2	2000.5	0.024104922740508076	5.20105534715553E-4
003-006	2010.5	0.022308181940508074	-0.0014211952613966614
H1-002-0038-D-O	2016.5	0.022308359940508074	-0.0015077532590639896
ETECL10	2001.5	0.02783333594050807	0.004234062735104325
ETECL9	2003.5	0.027746587140508074	0.004118401935881887
006-002	2010.5	0.025920848440508074	0.002191471238603339
R1B13B6	2000.5	0.028666402240508076	0.005081585034715553
001-024-c2	2010.5	0.023189140040508077	-5.402371613966589E-4
VDG374	1980.5	0.023189140040508077	-1.0655717306002135E-4
034-019-c2	2010.5	0.024078562840508074	3.4918563860333873E-4
026-007	2010.5	0.023188819640508073	-5.405575613966623E-4
VDG403	1980.5	0.023189940940508077	-1.0575627306002103E-4
VDG373	1980.5	0.022291869140508073	-0.001003828073060025
R1B15H1	2000.5	0.022295372540508073	-0.0012894446652844498
R1B1C6	2000.5	0.021392592640508076	-0.0021922245652844473
012-004-ccl	2010.5	0.023213815540508075	-5.155616613966608E-4
ATCC8739	1938.5	0.021398351640508073	-0.0012901935893887273
ETECL11	1983.5	0.021399102640508073	-0.0019399625718936886
R1B5B9	2000.5	0.023207409640508075	-3.7740756528444747E-4
H1-003-0109-M-D	2016.5	0.020496880040508075	-0.003319233159063989
R1B5J10	2000.5	0.021395741140508073	-0.0021890760652844496
VDG396	1980.5	0.020498066440508073	-0.0027976307730600246
H1-001-0031-C-M	2016.5	0.025003701840508076	0.0011875886409360124
R1B1E2	2000.5	0.031584426040508075	0.007999608834715552
003-029	2010.5	0.030603703040508076	0.00687432583860334
H1-004-0027-B-P	2016.5	0.030602575140508074	0.00678646194093601
004-027-c1	2010.5	0.029720044940508075	0.00599066773860334
ROAR394	2004.5	0.029720044940508075	0.0060774037362706645
R1B2G1	2000.5	0.029717359340508075	0.0061325421347155525
101-1	2005.9315068493152	0.031492611740508075	0.007829276673813505
H1-001-0105-C-P	2016.5	0.032406860840508075	0.008590747640936012
REL606	1918.5	0.034172867340508076	0.0117734421028357
ROAR420	2004.5	0.034166728340508074	0.010524087136270663
H1-003-0003-A-N	2016.5	0.031488871940508076	0.007672758740936012
H1-003-0098-J-H	2016.5	0.031488871940508076	0.007672758740936012
R1B5A9	2000.5	0.032378283440508075	0.008793466234715552
H1-006-0014-H-P	2016.5	0.030605574040508076	0.006789460840936012
VDG455	1980.5	0.030605574040508076	0.007309876826939978
ROAR413	2004.5	0.030602888440508076	0.0069602472362706655
LBC1a	2001.5	0.03149104964050807	0.007891776435104324
LBC3a	2001.5	0.03149104964050807	0.007891776435104324
H1-001-0108-S-J	2016.5	0.03326872274050807	0.009452609540936008
H1-001-0129-R-J	2016.5	0.025945195240508076	0.0021290820409360124
H1-007-0045-R-M	2016.5	0.027723303940508075	0.003907190740936012
001-033-c1	2010.5	0.028624045540508073	0.004894668338603338
H1-002-0057-F-J	2016.5	0.026804361940508076	0.002988248740936013
ROAR435	2004.5	0.026806048140508073	0.0031634069362706622
VDG401	1980.5	0.026806048140508073	0.003510350926939975
PAR25_7	2002.5	0.024990526740508074	0.0013767975354931072
53638	2008.3715846994535	0.025909526840508075	0.0022109180093605567
025-025-c1	2010.5	0.024992367140508075	0.00126298993860334
H1-001-0092-L-F	2016.5	0.026782989140508074	0.0029668759409360104
ETECL12	1998.5	0.024096675640508075	5.407704339379926E-4
H1-001-0029-V-P	2016.5	0.025908247840508075	0.0020921346409360116
ROAR369	2004.5	0.025907007140508077	0.002264365936270666
R1B15A1	2000.5	0.024098790740508077	5.13973534715554E-4
ETECL13	2000.5	0.028650818640508075	0.005066001434715552
003-032	2010.5	0.017359398740508073	-0.006369978461396662
PAR5_1	2002.5	0.016470588840508074	-0.007143140364506893
035-003-ccl	2010.5	0.018252981740508073	-0.005476395461396662
ROAR361	2004.5	0.020035209940508076	-0.0036074312637293347
R1B3B2	2000.5	0.018249733340508074	-0.005335083865284449
H1-006-0031-R-H	2016.5	0.01735179654050807	-0.006464316659063992
ATCC11229	2004.5	0.013764439240508073	-0.009878201963729337
ESC_ZA5349AA	2015.7896118721462	0.013763853540508074	-0.010041990288563922
AncientEcoli	1585.8849315068494	0.01643050794050807	-0.0011606339963409658
ESC_VA4573AA	2018.5	0.014653975440508072	-0.009191049758286435
ESC_QA4865AA	2017.5	0.017323248740508074	-0.006507320458675213
ESC_WA3680AA	2000.7903005464482	0.016439381640508073	-0.007149632149871042
STEC388	2012.5	0.01555806164050807	-0.00820022756061911
R1B3I5	2000.5	0.013760538140508071	-0.009824279065284451
VDG402	1980.5	0.013766616440508072	-0.009529080773060026
VDG420	1980.5	0.013766616440508072	-0.009529080773060026
ESC_FA6820AA	2014.5	0.013828947540508072	-0.009958253659841551
ESC_IA0016AA	2013.5	0.014713975340508072	-0.009058769860230327
ESC_UA5701AA	2016.7903005464482	0.014710896640508073	-0.009109413143650583
001-011	2010.5	0.030205598259491928	0.006476221057587193
H1-001-0066-P-C	2016.5	0.030205598259491928	0.0063894850599198645
001-025	2010.5	0.02843665685949193	0.004707279657587195
H1-001-0120-M-A	2016.5	0.03020019375949193	0.006384080559919868
ETECL6	2000.5	0.02741786465949193	0.003833047453699407
005-x	2010.5	0.010640072759491928	-0.013089304442412807
R1B6A7	2000.5	0.008884007859491928	-0.014700809346300595
007-002	2010.5	0.004271946740508073	-0.01945743046139666
R1B3I1	2000.5	0.004271946740508073	-0.01931287046528445
ROAR383	2004.5	0.004269261140508073	-0.019373380063729337
025-022	2010.5	0.016611466340508075	-0.0071179108613966605
