tip	date	distance	residual
IAI1	2008.950819672131	0.0468836055594074	0.023778662615327392
001-001-P1	2010.5	0.023497312359407396	3.705941602010626E-4
H1-004-0043-G-R	2016.5	0.024367283359407396	0.001156229251457832
ETECL21	2008.5	0.024376725659407395	0.0012781194297821381
004-009-ccl	2010.5	0.022615915459407394	-5.108027397989386E-4
R1B2G2	2000.5	0.023490294259407397	5.04135908106447E-4
R1B13B6	2000.5	0.027947789059407396	0.004961630708106447
006-002	2010.5	0.025268366759407395	0.002141648560201062
ETECL9	2003.5	0.0270421972594074	0.004013870953734833
005-006	2010.5	0.021740927059407396	-0.0013857911397989371
H1-001-0051-L-F	2016.5	0.021740927059407396	-0.0014701270485421684
R1B15I2	2000.5	0.023489854659407398	5.03696308106448E-4
H1-002-0038-D-O	2016.5	0.021739122859407396	-0.0014719312485421687
003-006	2010.5	0.021735392859407395	-0.0013913253397989378
ETECL10	2001.5	0.0271191431594074	0.004118928823315909
001-024-c2	2010.5	0.022602576659407396	-5.24141539798937E-4
VDG374	1980.5	0.022602576659407396	-1.024619960827873E-4
034-019-c2	2010.5	0.023470872559407396	3.441543602010627E-4
VDG403	1980.5	0.022599562559407396	-1.0547609608278774E-4
VDG373	1980.5	0.021725720259407395	-9.79318396082788E-4
026-007	2010.5	0.022594865759407397	-5.318524397989362E-4
R1B1C6	2000.5	0.020852092059407395	-0.002134066291893555
R1B15H1	2000.5	0.021726801559407396	-0.0012593567918935539
012-004-ccl	2010.5	0.022621302959407397	-5.054152397989363E-4
ATCC8739	1938.5	0.020852637359407396	-0.0012620499348801745
001-033-c1	2010.5	0.027899109559407397	0.004772391360201064
ROAR435	2004.5	0.026126322159407397	0.0030839398689442923
VDG401	1980.5	0.026126322159407397	0.003421283503917214
H1-002-0057-F-J	2016.5	0.026123689559407397	0.002912635451457833
53638	2008.3715846994535	0.025257278859407397	0.002160477633293495
PAR25_7	2002.5	0.024358677759407397	0.0013444074385253711
025-025-c1	2010.5	0.024365913659407396	0.0012391954602010632
H1-001-0092-L-F	2016.5	0.026109042959407396	0.002897988851457832
ETECL12	1998.5	0.023491598559407394	5.335521776875206E-4
H1-001-0029-V-P	2016.5	0.025253298659407394	0.0020422445514578294
ROAR369	2004.5	0.025252219559407395	0.0022098372689442897
R1B15A1	2000.5	0.023490886059407395	5.04727708106445E-4
ETECL13	2000.5	0.027921751659407395	0.004935593308106445
H1-003-0109-M-D	2016.5	0.019975016959407395	-0.003236037148542169
R1B5J10	2000.5	0.020846577859407397	-0.0021395804918935522
VDG396	1980.5	0.019973571059407395	-0.0027314675960827886
003-029	2010.5	0.029800907759407396	0.006674189560201063
004-027-c1	2010.5	0.0289422550594074	0.005815536860201066
R1B2G1	2000.5	0.028943428759407395	0.005957270408106445
ROAR394	2004.5	0.028943428759407395	0.00590104646894429
H1-001-0105-C-P	2016.5	0.03156007465940739	0.008349020551457826
REL606	1918.5	0.033277743659407395	0.011444176060930594
ROAR420	2004.5	0.033271907859407396	0.01022952556894429
H1-003-0003-A-N	2016.5	0.030669988559407394	0.00745893445145783
H1-003-0098-J-H	2016.5	0.030669988559407394	0.00745893445145783
R1B5A9	2000.5	0.0315363035594074	0.008550145208106447
H1-006-0014-H-P	2016.5	0.029808713359407397	0.0065976592514578325
ROAR413	2004.5	0.029809887059407396	0.006767504768944291
VDG455	1980.5	0.029809887059407396	0.007104848403917213
LBC1a	2001.5	0.030672240559407395	0.007672026223315906
LBC3a	2001.5	0.030672240559407395	0.007672026223315906
101-1	2005.9315068493152	0.030670273459407395	0.007607769930442765
H1-001-0108-S-J	2016.5	0.032405283459407394	0.00919422935145783
H1-004-0027-B-P	2016.5	0.029798652859407398	0.0065875987514578335
H1-001-0129-R-J	2016.5	0.0252815276594074	0.002070473551457834
H1-007-0045-R-M	2016.5	0.027012501159407395	0.0038014470514578305
H1-001-0031-C-M	2016.5	0.024365419259407398	0.0011543651514578333
R1B1E2	2000.5	0.030761496859407395	0.0077753385081064455
ETECL11	1983.5	0.020850306359407395	-0.0018969002504544037
R1B5B9	2000.5	0.022603340159407397	-3.828181918935532E-4
003-032	2010.5	0.016936173959407396	-0.006190544239798937
035-003-ccl	2010.5	0.017809673859407398	-0.0053170443397989355
ROAR361	2004.5	0.019546678559407397	-0.0034957037310557083
PAR5_1	2002.5	0.016067322559407397	-0.006946947761474628
R1B3B2	2000.5	0.017806680459407396	-0.005179477891893554
H1-006-0031-R-H	2016.5	0.016931588359407397	-0.006279465748542167
ATCC11229	2004.5	0.013433060959407397	-0.009609321331055708
AncientEcoli	1585.8849315068494	0.016035148759407397	-0.0011231864952257961
ESC_VA4573AA	2018.5	0.014303821159407397	-0.008935344918123244
ESC_ZA5349AA	2015.7896118721462	0.013433690059407397	-0.009767378843821676
ESC_QA4865AA	2017.5	0.016906386959407396	-0.006318723133332708
STEC388	2012.5	0.015181762459407395	-0.007973067709380017
ESC_WA3680AA	2000.7903005464482	0.016040142259407395	-0.006950096551959117
R1B3I5	2000.5	0.013432142559407396	-0.009554015791893553
VDG402	1980.5	0.013436585459407397	-0.009268453196082787
VDG420	1980.5	0.013436585459407397	-0.009268453196082787
ESC_FA6820AA	2014.5	0.013494788059407396	-0.009688154078961092
ESC_IA0016AA	2013.5	0.014358643559407396	-0.008810242594170552
ESC_UA5701AA	2016.7903005464482	0.014357088959407398	-0.008858045608607729
001-011	2010.5	0.029441581940592605	0.006314863741386272
H1-001-0066-P-C	2016.5	0.029441581940592605	0.006230527832643041
001-025	2010.5	0.027716183040592604	0.004589464841386271
H1-001-0120-M-A	2016.5	0.029437786540592606	0.006226732432643042
ETECL6	2000.5	0.026728328040592605	0.003742169689291655
005-x	2010.5	0.010362134740592605	-0.012764583458613728
R1B6A7	2000.5	0.008646984940592605	-0.014339173410708344
007-002	2010.5	0.004182504559407396	-0.018944213639798937
ROAR383	2004.5	0.004182504559407396	-0.01885987773105571
R1B3I1	2000.5	0.004181330859407396	-0.018804827491893553
025-022	2010.5	0.016216210059407397	-0.0069105081397989356
