Assembly barcode	ST	Source	Collection Date
ESC_AA7516AA	ST4995	Human	2015-08-26
ESC_AA9618AA	ST4995	Ground Beef	2009-09
ESC_CA2237AA	ST4995	stool; Homo sapiens	2009-07
ESC_LA1184AA	ST4995		2017-01-12
ESC_SA9272AA	ST4995	animal-cattle-heifer	2018
ESC_VA1010AA	ST4995		2018-12-18
ESC_VA4573AA	ST4995	animal-cattle-steer	2018
ESC_VA5952AA	ST4995		2018
ESC_ZA5946AA	ST4995	ND	2016-07
ESC_ZA5848AA	ST4995	ND	2015-11
ESC_ZA5349AA	ST4995	ND	2015-10
ESC_DB2295AA	ST4995	ND	2016
ESC_FB5265AA	ST4995	Ground Beef	2019-07
ESC_IB6961AA	ST4995		2014-04-11
ESC_IB6959AA	ST4995		2014-04-11
ESC_IB6958AA	ST4995		2014-04-11
ESC_LB5207AA	ST4995		2014-04-11
ESC_IB6922AA	ST4995		2014-04-11
ESC_NB8751AA	ST4995		2004
ESC_NB8750AA	ST4995		2004
ESC_NB3559AA	ST4995	Ground Beef	2019
ESC_TB9875AA	ST4995	Homo sapiens; Intermediate-Care Facility	2014
ESC_AA2457AA	ST325	Animal	2015-08-26
ESC_AA2458AA	ST325	Bovine	2015-08-26
ESC_AA2459AA	ST325	Bovine	2015-08-26
ESC_AA2460AA	ST325	Bovine	2015-08-26
ESC_AA2461AA	ST325	Bovine	2015-08-26
ESC_AA2462AA	ST325	Bovine	2015-08-26
ESC_AA2463AA	ST325	Bovine	2015-08-26
ESC_AA2464AA	ST325	Bovine	2015-08-26
ESC_FA6819AA	ST325	Homo sapiens	2014
ESC_FA6820AA	ST325	Homo sapiens	2014
ESC_HA2468AA	ST325	culture	2016-02-24
ESC_IA0016AA	ST325	Curley Parsley	2013
ESC_KA0088AA	ST325	Human; Homo sapiens	2015-09
ESC_UA5701AA	ST325	ND	2016-10
ESC_QA6401AA	ST325	Fresh Coriander	2017-10
ESC_RA0019AA	ST325	ND	2016-10-07
ESC_SA9471AA	ST325	ND	2018-06
ESC_TA8294AA	ST325	human; Homo sapiens	2018-09
ESC_UA0835AA	ST325		2016
