"VFclass"	"Virulence.factors"	"Related.genes"	"UPEC"	"EAEC"	"APEC"	"ETEC"	"EHEC"	"StxEAEC"	"NMEC"	"AIEC"	"K12"
"Adherence"	"AAF/II fimbriae"	"aafB"	0	1	0	0	0	0	0	0	0
"Adherence"	"AAF/II fimbriae"	"aafC"	0	1	0	0	0	0	0	0	0
"Adherence"	"AAF/II fimbriae"	"aafD"	0	1	0	0	0	0	0	0	0
"Adherence"	"AAF/II fimbriae"	"aafA"	0	1	0	0	0	0	0	0	0
"Adherence"	"AAF/III fimbriae"	"agg3D"	0	4	0	0	0	3	0	0	0
"Adherence"	"AAF/III fimbriae"	"agg3C"	0	4	0	0	0	3	0	0	0
"Adherence"	"AAF/III fimbriae"	"agg3B"	0	4	0	0	0	3	0	0	0
"Adherence"	"AAF/III fimbriae"	"agg3A"	0	4	0	0	0	3	0	0	0
"Adherence"	"Afimbrial adhesin AFA-I"	"afaD"	2	0	0	0	0	0	0	0	0
"Adherence"	"Afimbrial adhesin AFA-I"	"afaC"	2	0	0	0	0	0	0	0	0
"Adherence"	"Afimbrial adhesin AFA-I"	"afaB"	2	0	0	0	0	0	0	0	0
"Adherence"	"Afimbrial adhesin AFA-I"	"afaA"	2	0	0	0	0	0	0	0	0
"Adherence"	"Afimbrial adhesin AFA-I"	"afaE"	1	0	0	0	0	0	0	0	0
"Adherence"	"Afimbrial adhesin AFA-I"	"draP"	2	0	0	0	0	0	0	0	0
"Adherence"	"CFA/I fimbriae"	"cfaA"	2	4	1	2	3	3	0	0	0
"Adherence"	"CFA/I fimbriae"	"cfaB"	2	4	1	2	3	3	0	0	0
"Adherence"	"CFA/I fimbriae"	"cfaC"	2	4	1	2	3	3	0	0	0
"Adherence"	"CFA/I fimbriae"	"cfaD/cfaE"	2	4	1	2	3	3	0	0	0
"Adherence"	"Curli fibers"	"cgsG"	2	0	0	0	0	0	0	0	0
"Adherence"	"Curli fibers"	"cgsF"	2	0	0	0	0	0	0	0	0
"Adherence"	"Curli fibers"	"cgsE"	2	0	0	0	0	0	0	0	0
"Adherence"	"Curli fibers"	"cgsD"	2	0	0	0	0	0	0	0	0
"Adherence"	"Curli fibers"	"csgB"	2	0	0	0	0	0	0	0	0
"Adherence"	"Curli fibers"	"csgA"	2	0	0	0	0	0	0	0	0
"Adherence"	"Curli fibers"	"csgC"	2	0	0	0	0	0	0	0	0
"Adherence"	"Dispersin"	"aap"	0	1	0	0	0	0	0	0	0
"Adherence"	"E. coli common pilus (ECP)"	"ecpB"	10	5	2	3	7	3	3	3	1
"Adherence"	"E. coli common pilus (ECP)"	"ecpR"	10	5	2	3	7	3	3	3	1
"Adherence"	"E. coli common pilus (ECP)"	"ecpA"	9	5	2	3	7	3	3	3	1
"Adherence"	"E. coli common pilus (ECP)"	"ecpC"	10	5	2	3	7	3	3	3	1
"Adherence"	"E. coli common pilus (ECP)"	"ecpD"	10	5	2	3	7	3	3	3	1
"Adherence"	"E. coli common pilus (ECP)"	"ecpE"	10	5	2	3	7	3	3	3	1
"Adherence"	"E.coli laminin-binding fimbriae (ELF)"	"elfA"	2	4	1	3	8	3	1	0	1
"Adherence"	"E.coli laminin-binding fimbriae (ELF)"	"elfD"	2	4	1	3	8	3	1	0	1
"Adherence"	"E.coli laminin-binding fimbriae (ELF)"	"elfC"	2	4	1	3	3	3	1	0	1
"Adherence"	"E.coli laminin-binding fimbriae (ELF)"	"elfG"	2	4	1	3	6	3	1	0	1
"Adherence"	"EaeH"	"eaeH"	7	5	2	3	7	3	1	3	0
"Adherence"	"EtpA"	"etpA"	0	0	0	1	0	0	0	0	0
"Adherence"	"F1C fimbriae"	"focA"	3	0	0	0	0	0	0	0	0
"Adherence"	"F1C fimbriae"	"focI"	3	0	0	0	0	0	0	0	0
"Adherence"	"F1C fimbriae"	"focC"	3	0	0	0	0	0	0	0	0
"Adherence"	"F1C fimbriae"	"focD"	3	0	0	0	0	0	0	0	0
"Adherence"	"F1C fimbriae"	"focF"	3	0	0	0	0	0	0	0	0
"Adherence"	"F1C fimbriae"	"focG"	3	0	0	0	0	0	0	0	0
"Adherence"	"F1C fimbriae"	"focH"	3	0	0	0	0	0	0	0	0
"Adherence"	"Hemorrhagic E.coli pilus (HCP)"	"hcpC"	10	5	2	2	8	3	3	3	1
"Adherence"	"Hemorrhagic E.coli pilus (HCP)"	"hcpB"	10	5	2	3	8	3	3	3	1
