"Name"	"MeanCoverage"
"aslA"	22.2901234567901
"astA"	28.8492753623188
"cfaB"	32.1976047904192
"cfaE"	13.824644549763
"csdA"	28.6724709784411
"csgA"	28.9451754385965
"csgB"	32.1162280701754
"csgD"	26.9400921658986
"csgE"	20.6344086021505
"csgF"	30.9040767386091
"csgG"	23.2242206235012
"ecpA"	22.88
"ecpB"	28.1806684733514
"ecpD"	30.8278588807786
"ecpE"	27.9268635724332
"ecpR"	31.158379373849
"elfC_2"	33.1054300435989
"elfD"	29.5555555555556
"elfG"	27.8160597572362
"elfG_2"	33.8370577281192
"entA"	25.7877652933833
"entB"	29.4452214452214
"entC"	27.9608843537415
"entD"	27.3095238095238
"entE"	27.2296710117939
"entF"	25.2385368366821
"entS"	28.7466027178257
"fepA"	23.1414547077198
"fepB"	29.3490073145246
"fepC"	29.1470588235294
"fepD"	24.7601990049751
"fepG"	23.3182275931521
"fes"	29.6084788029925
"fimA_1"	28.75
"fimA_2"	11.8214936247723
"fimB"	32.4461028192371
"fimC_1"	31.2456140350877
"fimC_2"	31.1570247933884
"fimD_1"	32.236802413273
"fimE"	30.14405360134
"fimF"	31.6214689265537
"fimG"	27.2638888888889
"fimH"	28.1672203765227
"fimI"	25.8076062639821
"focA"	30.7575757575758
"gadC"	26.474609375
"gadW"	33.8098290598291
"gadX"	33.2521212121212
"MULTISPECIES: type VI secretion system baseplate subunit TssF [Enterobacteriaceae]"	54.8399044205496
"MULTISPECIES: type VI secretion system baseplate subunit TssG [Enterobacteriaceae]"	44.3368794326241
"type VI secretion system baseplate subunit TssF [Escherichia coli]"	28.7390599675851
"type III secretion system effector EspX1, partial [Escherichia coli]"	30.041184041184
"MULTISPECIES: type VI secretion system baseplate subunit TssG [Enterobacteriaceae]"	29.7839335180055
"type III secretion protein EprJ [Escherichia coli]"	32.0181818181818
"MULTISPECIES: type VI secretion system baseplate subunit TssK [Enterobacteriaceae]"	27.7304804804805
"type IVB secretion system protein IcmH/DotU [Escherichia coli]"	30.8517060367454
"MULTISPECIES: invasion protein [Enterobacteriaceae]"	34.265306122449
"type VI secretion system contractile sheath large subunit [Escherichia coli]"	57.4192364170338
"type VI secretion system baseplate subunit TssK [Escherichia coli]"	50.1859259259259
"type VI secretion system protein TssL, short form [Escherichia coli]"	41.0507246376812
"type VI secretion system tip protein VgrG [Escherichia coli]"	46.8193384223919
"type VI secretion protein VasK [Escherichia coli]"	52.5490620490621
"type VI secretion protein VasK [Escherichia coli]"	50.6932707355243
"type VI secretion system protein TssA [Escherichia coli]"	52.1307311028501
"type VI secretion system lipoprotein TssJ [Escherichia coli]"	50.4190476190476
"type VI secretion system tip protein VgrG [Escherichia coli]"	48.231339031339
"type III secretion system protein SpaP [Escherichia coli O104:H4 str. 01-09591]"	32.5884773662551
"type IV secretion protein Rhs, partial [Escherichia coli]"	15.9717514124294
"MULTISPECIES: type VI secretion system lipoprotein TssJ [Enterobacteriaceae]"	31.0571428571429
"type VI secretion system baseplate subunit TssE [Escherichia coli]"	32.0692640692641
"type VI secretion system membrane subunit TssM [Escherichia coli]"	27.5029787234043
"tia invasion determinant [Escherichia coli MS 84-1]"	28.3048780487805
"MULTISPECIES: type VI secretion system baseplate subunit TssE [Enterobacteriaceae]"	26.8599033816425
"type III secretion protein [Escherichia coli]"	34.7799564270153
"type VI secretion system ImpA family N-terminal domain-containing protein [Escherichia coli]"	28.3887657058389
"MULTISPECIES: type VI secretion system-associated protein TagO [Enterobacteriaceae]"	15.4704301075269
"MULTISPECIES: type VI secretion system contractile sheath small subunit [Enterobacteriaceae]"	27.5269461077844
"hcp"	28.9473684210526
"hcpA"	29.2896825396825
"hcpA_1"	49.8170731707317
"hlyE"	30.455938697318
"malX"	29.2806026365348
"ompA"	21.0720461095101
"satP"	31.4902998236332
"uspA"	29.8436781609195
"uspB"	27.1517857142857
"uspC"	28.997668997669
"uspD"	35.3310023310023
"uspE"	30.4826498422713
"uspF"	31.8896551724138
"uspG"	28.1048951048951
