Query	Match	Name	Organism
group_100	WP_000795458	MULTISPECIES: DUF4049 domain-containing protein [Enterobacteriaceae]	Enterobacteriaceae
group_10000	WP_032218980	hypothetical protein [Escherichia coli]	Escherichia coli
group_10001	WP_000552033	P-loop NTPase fold protein [Escherichia coli]	Escherichia coli
group_10002	WP_000833215	hypothetical protein [Escherichia coli]	Escherichia coli
group_10005	WP_000371307	MULTISPECIES: DUF4145 domain-containing protein [Enterobacteriaceae]	Enterobacteriaceae
group_10006	EFM53078	hypothetical protein ECNC101_18184 [Escherichia coli NC101]	Escherichia coli NC101
group_10007	WP_001066620	carboxymuconolactone decarboxylase family protein [Escherichia coli]	Escherichia coli
group_10008	KKA60734	cupin domain protein [Escherichia coli 9.1649]	Escherichia coli 9.1649
group_10009	ELD53448	hypothetical protein A17M_01623 [Escherichia coli KTE224]	Escherichia coli KTE224
group_10010	WP_001337831	AEC family transporter [Escherichia coli]	Escherichia coli
group_10011	WP_001041137	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Enterobacteriaceae
group_10012	WP_001541973	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Enterobacteriaceae
group_10013	WP_000243325	MULTISPECIES: replication initiation protein [Enterobacteriaceae]	Enterobacteriaceae
group_10014	AJF83622	toxin-antitoxin system, toxin protein HicA (plasmid) [Escherichia coli]	Escherichia coli
group_10015	WP_000008647	MULTISPECIES: TrbC/VirB2 family protein [Bacteria]	eubacteria
group_10016	WP_100004392	type IV secretion system protein [Escherichia coli]	Escherichia coli
group_10017	WP_000803716	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Enterobacteriaceae
group_10018	WP_000981207	hypothetical protein [Escherichia coli]	Escherichia coli
group_10019	WP_001221547	MULTISPECIES: thermonuclease family protein [Enterobacteriaceae]	Enterobacteriaceae
group_10020	WP_001330833	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Enterobacteriaceae
group_10021	WP_001333378	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Enterobacteriaceae
group_10022	WP_010892547	MULTISPECIES: colicin R system lysis protein [Gammaproteobacteria]	Gammaproteobacteria
group_10024	WP_033559819	MULTISPECIES: propanediol utilization system shell hexameric protein GrpK [Enterobacteriaceae]	Enterobacteriaceae
group_10027	WP_001131670	MULTISPECIES: integrase arm-type DNA-binding domain-containing protein [Enterobacteriaceae]	Enterobacteriaceae
group_10028	WP_001259268	MULTISPECIES: helix-turn-helix transcriptional regulator [Enterobacteriaceae]	Enterobacteriaceae
group_10029	WP_000031883	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Enterobacteriaceae
group_1003	WP_001386943	DUF1175 domain-containing protein [Escherichia coli]	Escherichia coli
group_10030	EHF29929	hypothetical protein EUDG_01556 [Escherichia coli O104:H4 str. 04-8351]	Escherichia coli O104:H4 str. 04-8351
group_10031	EIO70227	hypothetical protein ECTW11039_5821 [Escherichia coli TW11039]	Escherichia coli TW11039
group_10032	WP_064847777	hypothetical protein [Escherichia coli]	Escherichia coli
group_10033	WP_033548825	hypothetical protein [Escherichia coli]	Escherichia coli
group_10034	EQQ90828	hypothetical protein G773_00866 [Escherichia coli HVH 112 (4-5987253)]	Escherichia coli HVH 112 (4-5987253)
group_10035	WP_000182282	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Enterobacteriaceae
group_10036	WP_065089943	transglycosylase SLT domain-containing protein [Escherichia coli]	Escherichia coli
group_10037	WP_074566129	terminase small subunit [Escherichia coli]	Escherichia coli
group_10041	ELC81532	hypothetical protein A13O_03757 [Escherichia coli KTE189]	Escherichia coli KTE189
group_10042	ABE10301	hypothetical protein UTI89_C4898 [Escherichia coli UTI89]	Escherichia coli UTI89
group_10043	WP_001298030	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Enterobacteriaceae
group_10044	WP_000680150	MULTISPECIES: nuclear transport factor 2 family protein [Enterobacteriaceae]	Enterobacteriaceae
group_10045	WP_000860473	MULTISPECIES: alpha-hemolysin T1SS ABC transporter subunit HlyD [Enterobacteriaceae]	Enterobacteriaceae
group_10048	WP_000249471	conjugal transfer protein TraG N-terminal domain-containing protein [Escherichia coli]	Escherichia coli
group_10049	WP_001206281	MULTISPECIES: BMC domain-containing protein [Enterobacteriaceae]	Enterobacteriaceae
group_10050	WP_015060010	MULTISPECIES: PIN domain-containing protein [Enterobacterales]	Enterobacterales
group_10051	WP_103497866	DUF2726 domain-containing protein [Klebsiella pneumoniae]	Klebsiella pneumoniae
group_10052	WP_004152386	MULTISPECIES: incFII family plasmid replication initiator RepA [Enterobacterales]	Enterobacterales
group_10053	WP_004152391	MULTISPECIES: Tn3-like element Tn4401 family resolvase TnpR [Gammaproteobacteria]	Gammaproteobacteria
group_10054	WP_004152392	MULTISPECIES: Tn3-like element Tn4401 family transposase [Gammaproteobacteria]	Gammaproteobacteria
group_10055	WP_024940885	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Enterobacteriaceae
