Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1038927.31","Escherichia coli O104:H4 strain FDAARGOS_348",,1038927,"Complete",,"O104:H4",,,"MLST.Escherichia_coli_1.678,MLST.Escherichia_coli_2.290",,"FDA:FDAARGOS_348",,"2017-06-27T00:00:00Z",,"PRJNA231221","SAMN06173361",,,"CP022086,CP022085,CP022087",,"US Food and Drug Administration",,"PacBio","18.1565653439553x","SMRT v. 2.3.0, HGAP v. 3.0",1,2,3,5442181,50.58,5899,5662,,"Stool",,"2009","United States","USA: Georgia",,,,,,"Human, Homo sapiens",,,"Bloody diarrhea complicated hemolytic uremic syndrome (HUS)",,,,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally: •Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. •Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and Pac Biosequencing platforms at the Institute for Genome Sciences disclaimer icon at the University of Maryland (UMD-IGS). •Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases. The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.","collected_by:USAMRIID < CDC-Atlanta",99.9,98.2,100,1.5,,"Good","2017-07-23T01:19:19.428Z","2017-07-23T01:19:19.428Z"
"1038927.40","Escherichia coli O104:H4 strain FDAARGOS_349",,1038927,"Complete",,"O104:H4",,,"MLST.Escherichia_coli_1.678,MLST.Escherichia_coli_2.290",,"FDA:FDAARGOS_349",,"2018-03-09T00:00:00Z",,"PRJNA231221","SAMN06173362","GCA_002983645.1",,"CP027394,CP027395,CP027392,CP027396,CP027393",,"US Food and Drug Administration",,"PacBio; Illumina","13.6271677151539x","SMRT v. 2.3.0, HGAP v. 3.0",1,4,5,5501145,50.640114,5925,5734,,"stool",,"2001","Germany","Germany",,,,,,"Human, Homo sapiens","female","37Y","Hemolytic uremic syndrome",,,,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.","collected_by:USAMRIID < Bundeswehr Inst. Microbiology",100,99,100,,,"Good","2018-05-26T05:50:28.248Z","2018-05-26T05:50:28.248Z"
"1038927.41","Escherichia coli O104:H4 strain LB226692",,1038927,"Complete","LB226692","O104:H4",,,"MLST.Escherichia_coli_1.678,MLST.Escherichia_coli_2.290",,,,"2018-04-25T00:00:00Z","29606600","PRJNA419526","SAMN08056753","GCA_003072445.1",,"CP024992,CP024993,CP024994",,"University of Hohenheim",,"PacBio","200.0x","HGAP3 algorithm v. 2.3",1,2,3,5500653,50.622913,5581,,,"stool of HUS-patient",,"24-May-2011","Germany","Germany: Muenster",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Study of phage-borne NanS-p esterases.","collected_by:German National Consulting Laboratory for HUS at the Institute of Hygiene, University of Muenster",99.9,99,100,2.5,,"Good","2018-05-30T17:27:28.566Z","2018-05-30T17:27:28.566Z"
"1038927.45","Escherichia coli O104:H4 strain FWSEC0009",,1038927,"Complete","FWSEC0009","O104:H4",,,"MLST.Escherichia_coli_1.678,MLST.Escherichia_coli_2.290",,,,"2019-05-01T00:00:00Z",,"PRJNA287560","SAMN08768110","GCA_005014075.1",,"CP031902,CP031903,CP031904,CP031905",,"National Microbiology Laboratory",,"Illumina MiSeq;Oxford Nanopore MinION","65.55x;110.27x","Unicycler;Canu v. 0.4.4.0;1.7",1,3,4,5442997,50.65053,5768,5654,,"Clinical: Human (Homo sapiens)","is from Environmental, animal husbandry, food samples, and medical isolates","2011",,"Germany",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,"Mesophilic","37 C",,"Facultative","Multiple",,"The food and water safety pilot project is a comprehensive strategy that integrates multidisciplinary components from diverse federal science sources to address two main goals. The first is to enhance food and water safety by developing genomics-based methods for pathogen isolation, detection and characterisation. The second goal is to develop a federally integrated system to manage, store and provide open access to genomic data related to food and water borne pathogens. The model organisms for this study are Shiga-toxin Producing Escherchia coli (STEC) and Salmonella Enteritidis from Environmental, animal husbandry, food samples, and medical isolates.","collected_by:Laboratory for Foodborne Zoonoses: Public Health Agency of Canada",99.9,98.9,,,,"Good","2019-07-14T19:20:31.213Z","2019-07-14T19:20:31.213Z"
"1045010.15","Escherichia coli O157 strain 180-PT54",,1045010,"Complete","180-PT54",,,,"MLST.Escherichia_coli_1.11,MLST.Escherichia_coli_2.628",,,,"2016-05-24T00:00:00Z",,"PRJNA321984","SAMN05007044","GCF_001650275.1",,"CP015832,CP015833","NZ_CP015832.1,NZ_CP015833.1","Public Health England",,"Pacific Biosciences","30x","Celera v. 8.1",1,1,2,5750190,50.43,5958,,,"fecal sample",,"24-Oct-12","United Kingdom","United Kingdom",,,,,,"Human, Homo sapiens",,,"Diarrhea",,,,,,,,,,,,,,,,"A public health investigation into an outbreak of Escherichia coli O157 that involved sequencing of outbreak isolates.","collected_by:Lauren Cowley",99.8,99,100,,,"Good","2016-07-05T09:47:13.636Z","2016-07-05T09:47:13.636Z"
"1045010.16","Escherichia coli O157 strain 644-PT8",,1045010,"Complete","644-PT8",,,,"MLST.Escherichia_coli_1.11,MLST.Escherichia_coli_2.628",,,,"2016-05-24T00:00:00Z",,"PRJNA321984","SAMN05007045","GCF_001650295.1",,"CP015831","NZ_CP015831.1","Public Health England",,"MinION; Pacific Biosciences","30x","Canu v. 1.1; Celera Assembler v. 8.1",1,,1,5831209,50.52,6090,,,"fecal sample",,"30-Aug-12","United Kingdom","United Kingdom",,,,,,"Human, Homo sapiens",,,"Diarrhea",,,,,,,,,,,,,,,,"A public health investigation into an outbreak of Escherichia coli O157 that involved sequencing of outbreak isolates.","collected_by:Lauren Cowley",99.9,97.6,100,3.9,,"Good","2016-07-05T09:48:18.250Z","2016-07-05T09:48:18.250Z"
"1045010.21","Escherichia coli O157 strain FDAARGOS_293",,1045010,"Complete",,,,,"MLST.Escherichia_coli_1.11,MLST.Escherichia_coli_2.628",,"FDA:FDAARGOS_293",,"2017-06-27T00:00:00Z",,"PRJNA231221","SAMN06173306",,,"CP022050,CP022051,CP022052",,"US Food and Drug Administration",,"PacBio","17.6648961609863x","SMRT v. 2.3.0, HGAP v. 3.0",1,2,3,5686502,50.48,6234,5979,,,,"26-Feb-2014","United States","USA:DC",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally: •Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. •Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and Pac Biosequencing platforms at the Institute for Genome Sciences disclaimer icon at the University of Maryland (UMD-IGS). •Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases. The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.","collected_by:George Washington University",99.8,98.9,100,0.7,,"Good","2017-07-23T01:14:06.936Z","2017-07-23T01:14:06.936Z"
"1048254.4","Escherichia coli O104:H4 str. C227-11",,1048254,"Complete","C227-11",,,,"MLST.Escherichia_coli_1.678,MLST.Escherichia_coli_2.290",,"DSM -3043",,"2015-07-13T00:00:00Z",,"PRJNA281410","SAMN03856947","GCF_000986765.1",,"CP011331,CP011332,CP011333,CP011334,CP011335,CP011336,CP011337,CP011338","NZ_CP011331.1,NZ_CP011336.1,NZ_CP011337.1,NZ_CP011335.1,NZ_CP011338.1,NZ_CP011334.1,NZ_CP011332.1,NZ_CP011333.1","Icahn School of Medicine at Mount Sinai",,"PacBio","100.0x","HGAP v. 2.0",1,7,8,5446006,50.63,5664,5275,,"stool sample from a 64-year-old woman from Hamburg who presented with bloody diarrhea and did not develop hemolytic uremic syndrome (HUS)",,"18-May-2011","Denmark","Denmark",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"To obtain high quality reference assemblies of multiple bacterial genomes and conduct genome-wide analysis of DNA methylation, we sequenced three cultured isolates using a Pacific Biosciences RSII instrument. These long read sequenced isolates include Escherichia coli O104:H4 str. C227-11, Helicobacter pylori J99, and Chromohalobacter salexigens DSM-3043.'","isolate:368 shch",100,99,100,,,"Good","2016-01-17T15:56:39.571Z","2016-01-17T15:56:39.571Z"
"1078021.3","Escherichia coli O113:H21 strain FWSEC0010",,1078021,"Complete","FWSEC0010","O113:H21",,,"MLST.Escherichia_coli_1.223",,,,"2019-05-01T00:00:00Z",,"PRJNA287560","SAMN08768111","GCA_005014055.1",,"CP031898,CP031899,CP031900,CP031901",,"National Microbiology Laboratory",,"Illumina MiSeq;Oxford Nanopore MinION","94.45x;51.16x","Unicycler;Canu v. 0.4.4.0;1.7",1,3,4,5131000,50.785305,5319,5244,,"Clinical: Human (Homo sapiens)","is from Environmental, animal husbandry, food samples, and medical isolates","1991",,"Canada",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,"Mesophilic","37 C",,"Facultative","Multiple",,"The food and water safety pilot project is a comprehensive strategy that integrates multidisciplinary components from diverse federal science sources to address two main goals. The first is to enhance food and water safety by developing genomics-based methods for pathogen isolation, detection and characterisation. The second goal is to develop a federally integrated system to manage, store and provide open access to genomic data related to food and water borne pathogens. The model organisms for this study are Shiga-toxin Producing Escherchia coli (STEC) and Salmonella Enteritidis from Environmental, animal husbandry, food samples, and medical isolates.","collected_by:Laboratory for Foodborne Zoonoses: Public Health Agency of Canada",100,99.4,,,,"Good","2019-07-14T19:16:41.004Z","2019-07-14T19:16:41.004Z"
"1078032.3","Escherichia coli O45:H2 strain FWSEC0003",,1078032,"Complete","FWSEC0003","O45:H2",,,"MLST.Escherichia_coli_2.135",,,,"2019-05-03T00:00:00Z",,"PRJNA287560","SAMN08768104","GCA_005037845.2",,"NJGS01000000",,"National Microbiology Laboratory",,"Illumina MiSeq;Oxford Nanopore MinION","100.74x;244.02x","Unicycler;Canu v. 0.4.4.0;1.7",1,2,3,5680623,50.60373,6253,6018,,"Clinical: Human (Homo sapiens)","is from Environmental, animal husbandry, food samples, and medical isolates","2005","Canada","Canada:Nova Scotia,Halifax",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,"Mesophilic","37 C",,"Facultative","Multiple",,"The food and water safety pilot project is a comprehensive strategy that integrates multidisciplinary components from diverse federal science sources to address two main goals. The first is to enhance food and water safety by developing genomics-based methods for pathogen isolation, detection and characterisation. The second goal is to develop a federally integrated system to manage, store and provide open access to genomic data related to food and water borne pathogens. The model organisms for this study are Shiga-toxin Producing Escherchia coli (STEC) and Salmonella Enteritidis from Environmental, animal husbandry, food samples, and medical isolates.","collected_by:National Microbiology Laboratory: Public Health Agency of Canada",99.9,98.8,,,,"Good","2019-07-14T19:23:36.427Z","2019-07-14T19:23:36.427Z"
